,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
44,15/09/2018,Manchester City,Fulham,"['3 ', ' 0']",Manchester City,4,11,3,10,10.93,2.93,9.06,22.51,11.0,4.0,2.5,Fulham,4,7,9,4,5.52,8.6,12.11,13.9,5.0,9.0,1.0
45,15/09/2018,Newcastle United,Arsenal,"['1 ', ' 2']",Newcastle United,4,3,6,1,3.29,7.7,18.59,5.6,4.0,7.0,0.25,Arsenal,4,8,8,6,6.1,5.69,10.05,13.67,9.5,8.25,1.5
46,15/09/2018,Watford,Manchester United,"['1 ', ' 2']",Watford,4,9,3,12,4.94,2.65,9.54,7.99,6.75,4.0,3.0,Manchester United,4,6,7,6,7.39,6.28,11.36,11.65,7.0,5.0,1.5
47,16/09/2018,Wolverhampton Wanderers,Burnley,"['1 ', ' 0']",Wolverhampton Wanderers,4,4,5,5,4.47,3.67,13.22,13.16,4.0,5.75,1.25,Burnley,4,3,9,1,4.47,7.77,13.15,11.18,4.5,8.75,0.25
48,16/09/2018,Everton,West Ham,"['1 ', ' 3']",Everton,4,7,6,6,3.9,5.91,9.29,11.28,3.0,5.75,1.5,West Ham,4,2,10,0,3.58,9.04,14.8,8.84,7.25,9.5,0.0
49,17/09/2018,Southampton,Brighton,"['2 ', ' 2']",Southampton,4,4,4,4,6.47,6.3,10.09,8.94,5.0,4.5,1.0,Brighton,4,5,7,4,5.31,6.32,13.5,9.02,2.25,7.25,1.0
50,22/09/2018,Fulham,Watford,"['1 ', ' 1']",Fulham,5,7,12,4,5.86,13.51,15.44,13.38,4.6,11.6,0.8,Watford,5,10,5,12,6.12,4.3,10.12,8.37,6.8,4.4,2.4
51,22/09/2018,Burnley,Bournemouth,"['4 ', ' 0']",Burnley,5,3,10,1,4.68,11.16,14.01,12.13,4.2,9.2,0.2,Bournemouth,5,10,7,10,10.06,6.14,13.18,9.01,8.4,8.2,2.0
52,22/09/2018,Cardiff,Manchester City,"['0 ', ' 5']",Cardiff,5,3,9,2,5.33,8.44,12.1,5.57,4.2,8.8,0.4,Manchester City,5,14,3,13,15.85,3.27,9.52,24.84,13.2,3.8,2.6
53,22/09/2018,Crystal Palace,Newcastle United,"['0 ', ' 0']",Crystal Palace,5,4,6,6,5.76,8.62,16.42,7.93,4.6,7.0,1.2,Newcastle United,5,4,8,1,3.7,8.61,17.55,5.87,3.8,7.6,0.2
54,22/09/2018,Leicester,Huddersfield,"['3 ', ' 1']",Leicester,5,8,9,6,5.29,6.6,11.56,10.23,5.8,5.4,1.2,Huddersfield,5,2,11,2,2.8,9.34,12.75,10.76,2.6,6.0,0.4
55,22/09/2018,Liverpool,Southampton,"['3 ', ' 0']",Liverpool,5,11,2,15,13.22,3.08,9.73,18.53,11.6,4.2,3.0,Southampton,5,6,6,5,8.67,8.27,9.92,10.14,5.2,5.0,1.0
56,22/09/2018,Manchester United,Wolverhampton Wanderers,"['1 ', ' 1']",Manchester United,5,8,8,9,9.04,7.46,11.1,11.84,6.8,5.4,1.8,Wolverhampton Wanderers,5,5,5,8,7.86,3.88,13.79,13.98,5.4,5.2,1.6
57,22/09/2018,Brighton,Tottenham,"['1 ', ' 2']",Brighton,5,7,9,5,7.28,8.51,13.85,9.1,3.2,7.0,1.0,Tottenham,5,10,6,9,9.03,7.28,7.41,17.55,8.4,5.8,1.8
58,23/09/2018,West Ham,Chelsea,"['0 ', ' 0']",West Ham,5,5,11,3,5.1,10.31,14.01,8.4,7.2,8.6,0.6,Chelsea,5,14,4,15,9.36,4.84,7.94,17.44,11.0,3.6,3.0
59,23/09/2018,Arsenal,Everton,"['2 ', ' 0']",Arsenal,5,10,9,9,7.0,6.1,9.53,13.9,9.6,7.2,1.8,Everton,5,8,9,6,5.16,7.44,8.68,11.24,3.4,6.0,1.2
60,29/09/2018,West Ham,Manchester United,"['3 ', ' 1']",West Ham,6,5,11,4,6.12,12.19,15.47,7.96,6.666666666666667,9.166666666666666,0.6666666666666666,Manchester United,6,9,9,10,9.66,8.58,11.74,12.71,7.666666666666667,5.666666666666667,1.6666666666666667
61,29/09/2018,Arsenal,Watford,"['2 ', ' 0']",Arsenal,6,12,9,12,7.93,7.17,8.57,14.36,10.5,6.833333333333333,2.0,Watford,6,11,6,13,7.88,6.07,10.46,8.36,6.5,4.333333333333333,2.1666666666666665
62,29/09/2018,Everton,Fulham,"['3 ', ' 0']",Everton,6,8,11,6,6.23,8.37,9.81,9.75,3.6666666666666665,7.5,1.0,Fulham,6,8,13,5,7.64,15.27,14.26,13.16,4.5,10.5,0.8333333333333334
63,29/09/2018,Huddersfield,Tottenham,"['0 ', ' 2']",Huddersfield,6,3,14,2,3.49,11.15,13.52,9.88,2.5,5.333333333333333,0.3333333333333333,Tottenham,6,12,7,12,11.14,8.1,6.88,17.36,7.666666666666667,5.166666666666667,2.0
64,29/09/2018,Manchester City,Brighton,"['2 ', ' 0']",Manchester City,6,19,3,16,18.93,3.37,9.25,29.0,14.0,3.5,2.6666666666666665,Brighton,6,8,11,5,8.1,10.63,14.32,8.04,3.0,6.5,0.8333333333333334
65,29/09/2018,Newcastle United,Leicester,"['0 ', ' 2']",Newcastle United,6,4,8,2,3.93,9.54,15.51,6.09,3.3333333333333335,7.833333333333333,0.3333333333333333,Leicester,6,11,10,9,7.09,7.29,10.69,11.25,5.166666666666667,4.833333333333333,1.5
66,29/09/2018,Wolverhampton Wanderers,Southampton,"['2 ', ' 0']",Wolverhampton Wanderers,6,6,6,9,8.98,4.5,14.56,14.28,5.666666666666667,6.333333333333333,1.5,Southampton,6,6,9,5,8.98,10.05,11.98,11.09,5.166666666666667,6.333333333333333,0.8333333333333334
67,29/09/2018,Chelsea,Liverpool,"['1 ', ' 1']",Chelsea,6,14,4,16,11.25,5.86,7.45,18.46,11.166666666666666,3.6666666666666665,2.6666666666666665,Liverpool,6,14,2,18,15.0,3.39,10.51,19.55,11.833333333333334,4.333333333333333,3.0
68,30/09/2018,Cardiff,Burnley,"['1 ', ' 2']",Cardiff,6,3,14,2,5.43,11.52,15.73,5.86,3.8333333333333335,10.333333333333334,0.3333333333333333,Burnley,6,7,10,4,6.97,12.13,13.03,12.63,5.166666666666667,9.333333333333334,0.6666666666666666
69,01/10/2018,Bournemouth,Crystal Palace,"['2 ', ' 1']",Bournemouth,6,10,11,10,11.03,8.44,13.57,9.31,8.666666666666666,8.5,1.6666666666666667,Crystal Palace,6,4,6,7,6.7,8.85,14.71,8.18,5.333333333333333,6.0,1.1666666666666667
70,05/10/2018,Brighton,West Ham,"['1 ', ' 0']",Brighton,7,8,13,5,8.33,13.54,15.53,7.8,2.5714285714285716,8.571428571428571,0.7142857142857143,West Ham,7,8,12,7,7.42,13.06,15.13,8.35,7.0,8.142857142857142,1.0
71,06/10/2018,Burnley,Huddersfield,"['1 ', ' 1']",Burnley,7,9,11,7,7.08,13.7,12.44,11.64,5.285714285714286,10.0,1.0,Huddersfield,7,3,16,2,3.83,13.49,11.87,10.4,2.5714285714285716,4.714285714285714,0.2857142857142857
72,06/10/2018,Crystal Palace,Wolverhampton Wanderers,"['0 ', ' 1']",Crystal Palace,7,5,8,7,7.08,10.82,14.46,8.93,6.142857142857143,5.714285714285714,1.0,Wolverhampton Wanderers,7,8,6,12,10.41,5.18,13.85,13.94,5.571428571428571,6.714285714285714,1.7142857142857142
73,06/10/2018,Leicester,Everton,"['1 ', ' 2']",Leicester,7,13,10,12,8.43,7.69,10.47,11.32,4.857142857142857,4.571428571428571,1.7142857142857142,Everton,7,11,11,9,8.54,8.91,9.57,9.79,4.142857142857143,7.285714285714286,1.2857142857142858
74,06/10/2018,Tottenham,Cardiff,"['1 ', ' 0']",Tottenham,7,14,7,15,13.48,8.44,7.46,14.71,6.714285714285714,4.857142857142857,2.142857142857143,Cardiff,7,4,16,2,6.99,11.63,14.56,5.98,5.285714285714286,9.714285714285714,0.2857142857142857
75,06/10/2018,Watford,Bournemouth,"['0 ', ' 4']",Watford,7,11,8,13,10.5,7.64,10.43,8.44,6.142857142857143,5.0,1.8571428571428572,Bournemouth,7,12,12,13,13.01,8.82,13.83,9.73,8.0,8.857142857142858,1.8571428571428572
76,06/10/2018,Manchester United,Newcastle United,"['3 ', ' 2']",Manchester United,7,10,12,10,10.52,9.88,11.67,12.75,6.857142857142857,6.142857142857143,1.4285714285714286,Newcastle United,7,4,10,2,4.33,10.88,14.79,6.49,3.2857142857142856,7.142857142857143,0.2857142857142857
77,07/10/2018,Fulham,Arsenal,"['1 ', ' 5']",Fulham,7,8,16,5,8.17,17.59,13.48,12.43,4.714285714285714,10.0,0.7142857142857143,Arsenal,7,14,9,15,9.5,9.79,8.61,13.65,10.285714285714286,6.428571428571429,2.142857142857143
78,07/10/2018,Southampton,Chelsea,"['0 ', ' 3']",Southampton,7,6,11,5,9.66,11.47,12.02,10.99,5.714285714285714,6.142857142857143,0.7142857142857143,Chelsea,7,15,5,17,13.02,7.6,9.77,17.96,10.142857142857142,4.285714285714286,2.4285714285714284
79,07/10/2018,Liverpool,Manchester City,"['0 ', ' 0']",Liverpool,7,15,3,19,16.74,5.16,11.17,21.15,11.285714285714286,4.285714285714286,2.7142857142857144,Manchester City,7,21,3,19,21.84,3.6,8.72,29.43,15.0,3.0,2.7142857142857144
80,20/10/2018,Chelsea,Manchester United,"['2 ', ' 2']",Chelsea,8,18,5,20,16.57,9.09,9.96,17.43,10.75,4.375,2.5,Manchester United,8,13,14,13,12.93,11.44,10.87,12.84,7.5,6.0,1.625
81,20/10/2018,Bournemouth,Southampton,"['0 ', ' 0']",Bournemouth,8,16,12,16,16.29,9.89,13.98,9.94,7.625,8.5,2.0,Southampton,8,6,14,5,11.15,15.02,12.29,11.03,5.625,7.25,0.625
82,20/10/2018,Cardiff,Fulham,"['4 ', ' 2']",Cardiff,8,4,17,2,8.13,14.29,14.97,6.18,4.875,10.625,0.25,Fulham,8,9,21,5,9.49,18.73,13.22,12.7,4.75,10.25,0.625
83,20/10/2018,Manchester City,Burnley,"['5 ', ' 0']",Manchester City,8,21,3,20,22.92,4.03,9.75,28.55,13.625,3.0,2.5,Burnley,8,10,12,8,7.44,14.73,12.73,10.95,4.75,8.875,1.0
84,20/10/2018,Newcastle United,Brighton,"['0 ', ' 1']",Newcastle United,8,6,13,2,5.89,13.29,14.59,6.35,3.5,7.75,0.25,Brighton,8,9,13,8,9.35,14.97,15.22,7.89,2.5,9.375,1.0
85,20/10/2018,West Ham,Tottenham,"['0 ', ' 1']",West Ham,8,8,13,7,8.86,14.09,14.5,8.83,8.0,7.375,0.875,Tottenham,8,15,7,18,16.13,9.58,7.52,15.08,8.0,4.5,2.25
86,20/10/2018,Wolverhampton Wanderers,Watford,"['0 ', ' 2']",Wolverhampton Wanderers,8,9,6,15,11.16,6.22,14.43,12.61,5.375,6.625,1.875,Watford,8,11,12,13,11.57,10.93,10.54,9.06,6.125,5.0,1.625
87,20/10/2018,Huddersfield,Liverpool,"['0 ', ' 1']",Huddersfield,8,4,17,3,4.85,13.84,11.33,11.01,2.375,4.25,0.375,Liverpool,8,15,3,20,17.17,6.24,12.14,20.21,10.25,4.25,2.5
88,21/10/2018,Everton,Crystal Palace,"['2 ', ' 0']",Everton,8,13,12,12,9.69,10.01,9.96,10.05,4.375,6.625,1.5,Crystal Palace,8,5,9,7,8.12,11.58,13.03,9.9,6.125,5.5,0.875
89,22/10/2018,Arsenal,Leicester,"['3 ', ' 1']",Arsenal,8,19,10,18,10.64,11.1,9.27,13.41,10.5,6.25,2.25,Leicester,8,14,12,12,9.54,8.84,10.67,11.52,4.5,4.75,1.5
90,27/10/2018,Brighton,Wolverhampton Wanderers,"['1 ', ' 0']",Brighton,9,10,13,11,10.03,16.69,14.69,7.48,2.888888888888889,9.0,1.2222222222222223,Wolverhampton Wanderers,9,9,8,15,11.64,7.29,13.77,12.71,5.666666666666667,6.333333333333333,1.6666666666666667
91,27/10/2018,Fulham,Bournemouth,"['0 ', ' 3']",Fulham,9,11,25,5,10.44,20.48,12.04,12.44,4.888888888888889,9.555555555555555,0.5555555555555556,Bournemouth,9,16,12,17,17.13,10.48,13.99,9.94,7.222222222222222,8.0,1.8888888888888888
92,27/10/2018,Liverpool,Cardiff,"['4 ', ' 1']",Liverpool,9,16,3,23,17.83,6.88,12.75,19.26,10.222222222222221,3.7777777777777777,2.5555555555555554,Cardiff,9,8,19,5,9.89,15.23,14.35,5.87,4.777777777777778,10.11111111111111,0.5555555555555556
93,27/10/2018,Southampton,Newcastle United,"['0 ', ' 0']",Southampton,9,6,14,6,11.74,15.86,11.99,11.22,5.444444444444445,6.888888888888889,0.6666666666666666,Newcastle United,9,6,14,2,7.6,13.96,13.4,6.85,3.7777777777777777,7.555555555555555,0.2222222222222222
94,27/10/2018,Watford,Huddersfield,"['3 ', ' 0']",Watford,9,13,12,16,12.63,11.4,10.79,9.26,5.888888888888889,5.333333333333333,1.7777777777777777,Huddersfield,9,4,18,3,5.49,14.5,11.62,11.86,2.111111111111111,4.888888888888889,0.3333333333333333
95,27/10/2018,Leicester,West Ham,"['1 ', ' 1']",Leicester,9,15,15,12,10.47,11.76,11.56,10.82,4.222222222222222,5.777777777777778,1.3333333333333333,West Ham,9,8,14,7,9.4,15.2,13.1,9.07,7.444444444444445,7.0,0.7777777777777778
96,28/10/2018,Burnley,Chelsea,"['0 ', ' 4']",Burnley,9,10,17,8,7.81,19.21,14.31,10.75,4.333333333333333,9.88888888888889,0.8888888888888888,Chelsea,9,20,7,21,18.78,10.2,9.9,16.57,10.555555555555555,4.333333333333333,2.3333333333333335
97,28/10/2018,Crystal Palace,Arsenal,"['2 ', ' 2']",Crystal Palace,9,5,11,7,9.62,13.5,12.33,9.8,6.0,6.0,0.7777777777777778,Arsenal,9,22,11,21,13.56,12.04,8.85,13.97,10.88888888888889,5.777777777777778,2.3333333333333335
98,28/10/2018,Manchester United,Everton,"['2 ', ' 1']",Manchester United,9,15,16,14,14.04,13.65,10.99,12.51,7.111111111111111,6.333333333333333,1.5555555555555556,Everton,9,15,12,15,11.62,11.51,9.85,9.88,5.0,6.444444444444445,1.6666666666666667
99,29/10/2018,Tottenham,Manchester City,"['0 ', ' 1']",Tottenham,9,16,7,21,17.25,10.12,7.87,13.69,7.555555555555555,4.333333333333333,2.3333333333333335,Manchester City,9,26,3,23,27.4,4.4,9.71,29.44,14.11111111111111,2.7777777777777777,2.5555555555555554
100,03/11/2018,Bournemouth,Manchester United,"['1 ', ' 2']",Bournemouth,10,19,12,20,19.24,10.86,15.19,10.42,7.7,7.3,2.0,Manchester United,10,17,17,17,16.56,15.32,10.7,12.33,6.9,6.3,1.7
101,03/11/2018,Cardiff,Leicester,"['0 ', ' 1']",Cardiff,10,9,23,5,10.53,17.54,16.51,5.94,4.4,10.7,0.5,Leicester,10,16,16,13,12.42,13.32,10.34,10.81,4.3,5.9,1.3
102,03/11/2018,Everton,Brighton,"['3 ', ' 1']",Everton,10,16,14,15,13.29,14.03,9.94,9.76,5.1,6.3,1.5,Brighton,10,11,13,14,11.04,18.07,14.78,7.18,3.2,8.5,1.4
103,03/11/2018,Newcastle United,Watford,"['1 ', ' 0']",Newcastle United,10,6,14,3,7.9,15.15,12.88,7.35,3.7,7.5,0.3,Watford,10,16,12,19,14.93,11.88,10.9,9.08,5.9,5.4,1.9
104,03/11/2018,West Ham,Burnley,"['4 ', ' 2']",West Ham,10,9,15,8,10.96,17.16,12.83,8.33,7.4,6.8,0.8,Burnley,10,10,21,8,8.08,22.23,14.57,10.96,4.0,9.7,0.8
105,03/11/2018,Arsenal,Liverpool,"['1 ', ' 1']",Arsenal,10,24,13,22,14.4,14.42,8.68,14.12,10.0,5.8,2.2,Liverpool,10,20,4,26,20.14,7.52,12.41,21.5,10.8,3.5,2.6
106,03/11/2018,Wolverhampton Wanderers,Tottenham,"['2 ', ' 3']",Wolverhampton Wanderers,10,9,9,15,13.02,8.3,12.48,12.98,5.5,6.3,1.5,Tottenham,10,16,8,21,17.69,12.06,8.17,13.64,7.2,5.4,2.1
107,04/11/2018,Manchester City,Southampton,"['6 ', ' 1']",Manchester City,10,27,3,26,29.34,4.85,10.13,26.03,14.2,2.9,2.6,Southampton,10,6,14,7,12.93,16.16,12.09,10.89,5.6,6.5,0.7
108,04/11/2018,Chelsea,Crystal Palace,"['3 ', ' 1']",Chelsea,10,24,7,24,21.8,10.47,10.16,16.48,10.3,4.0,2.4,Crystal Palace,10,7,13,8,12.0,14.35,12.68,9.53,6.0,5.6,0.8
109,05/11/2018,Huddersfield,Fulham,"['1 ', ' 0']",Huddersfield,10,4,21,3,5.97,16.8,11.15,11.85,2.5,5.0,0.3,Fulham,10,11,28,5,10.82,22.59,12.41,13.29,4.5,9.8,0.5
